rank_metric	host_gene	n_circRNAs	detected_cells	prevalence	total_support	mean_support	max_cell_support	sparsity	circ_ids	rank
prevalence_then_total_support	SLIT2	7	7	0.036458333333333336	17.0	0.08854166666666667	6.0	0.9635416666666666	chr4:20280269|20280877;chr4:20375957|20377810;chr4:20306090|20310621;chr4:20336440|20356458;chr4:20587250|20600837;chr4:20339001|20340695;chr4:20541453|20598395	21
prevalence_then_total_support	FAM222B	6	6	0.03125	22.0	0.11458333333333333	10.0	0.96875	chr17:28825206|28829166;chr17:28827399|28829969;chr17:28768624|28771466;chr17:28829993|28831649;chr17:28795529|28797103;chr17:28832065|28836992	22
prevalence_then_total_support	MIER1	2	6	0.03125	18.0	0.09375	9.0	0.96875	chr1:66958059|66963160;chr1:66936826|66940940	23
prevalence_then_total_support	PTBP2	5	6	0.03125	14.0	0.07291666666666667	7.0	0.96875	chr1:96751425|96785254;chr1:96751425|96777946;chr1:96738506|96739856;chr1:96797221|96801029;chr1:96737123|96745504	24
prevalence_then_total_support	FOXK2	5	6	0.03125	12.0	0.0625	6.0	0.96875	chr17:82584189|82585881;chr17:82528047|82529336;chr17:82529685|82531459;chr17:82563354|82568201;chr17:82584475|82585743	25
prevalence_then_total_support	PIGL	6	6	0.03125	11.0	0.057291666666666664	3.0	0.96875	chr17:16239358|16239877;chr17:16241376|16242823;chr17:16237627|16254946;chr17:16313547|16316712;chr17:16234701|16235497;chr17:16239342|16239897	26
prevalence_then_total_support	SPEN	6	6	0.03125	11.0	0.057291666666666664	3.0	0.96875	chr1:15843725|15844700;chr1:15889993|15895065;chr1:15892886|15896401;chr1:15861972|15863178;chr1:15900135|15908013;chr1:15904374|15908517	27
prevalence_then_total_support	MRTFA	6	6	0.03125	9.0	0.046875	2.0	0.96875	chr22:40470467|40473184;chr22:40451962|40454844;chr22:40598733|40619629;chr22:40412952|40413520;chr22:40429813|40431404;chr22:40614723|40615920	28
prevalence_then_total_support	NAA25	5	6	0.03125	6.0	0.03125	1.0	0.96875	chr12:112058997|112059917;chr12:112039229|112049611;chr12:112100257|112103081;chr12:112033233|112049611;chr12:112070154|112071413	29
prevalence_then_total_support	DDX46	5	5	0.026041666666666668	25.0	0.13020833333333334	19.0	0.9739583333333334	chr5:134854898|134855327;chr5:134852906|134853822;chr5:134788753|134813036;chr5:134829845|134832947;chr5:134852229|134853781	30
prevalence_then_total_support	EIF4G3	7	5	0.026041666666666668	17.0	0.08854166666666667	8.0	0.9739583333333334	chr1:20960341|21082460;chr1:21013416|21014499;chr1:20941491|20950108;chr1:21117205|21127329;chr1:20997601|21050994;chr1:21083484|21087362;chr1:21169191|21169916	31
prevalence_then_total_support	JMJD1C	5	5	0.026041666666666668	15.0	0.078125	5.0	0.9739583333333334	chr10:63418864|63421121;chr10:63290528|63294366;chr10:63454590|63458882;chr10:63180289|63183138;chr10:63266901|63278254	32
prevalence_then_total_support	RAD54L2	4	5	0.026041666666666668	15.0	0.078125	6.0	0.9739583333333334	chr3:51541498|51552063;chr3:51539544|51541342;chr3:51596177|51601260;chr3:51542752|51555255	33
prevalence_then_total_support	YWHAE	5	5	0.026041666666666668	14.0	0.07291666666666667	10.0	0.9739583333333334	chr17:1354211|1365058;chr17:1393680|1394748;chr17:1381491|1382130;chr17:1353313|1370874;chr17:1356292|1360093	34
prevalence_then_total_support	BARD1	5	5	0.026041666666666668	13.0	0.06770833333333333	3.0	0.9739583333333334	chr2:214727660|214781509;chr2:214752447|214797117;chr2:214791496|214793000;chr2:214767482|214781509;chr2:214780560|214781509	35
prevalence_then_total_support	UHRF1	5	5	0.026041666666666668	13.0	0.06770833333333333	4.0	0.9739583333333334	chr19:4936697|4940614;chr19:4951218|4952128;chr19:4936705|4937544;chr19:4936737|4942089;chr19:4951092|4952502	36
prevalence_then_total_support	ENSG00000272657	4	5	0.026041666666666668	8.0	0.041666666666666664	3.0	0.9739583333333334	chr21:34084571|34085940;chr21:34102835|34125480;chr21:34084571|34085961;chr21:34102835|34103519	37
prevalence_then_total_support	MRPS6	4	5	0.026041666666666668	8.0	0.041666666666666664	3.0	0.9739583333333334	chr21:34084571|34085940;chr21:34102835|34125480;chr21:34084571|34085961;chr21:34102835|34103519	38
prevalence_then_total_support	SLC5A3	4	5	0.026041666666666668	8.0	0.041666666666666664	3.0	0.9739583333333334	chr21:34084571|34085940;chr21:34102835|34125480;chr21:34084571|34085961;chr21:34102835|34103519	39
prevalence_then_total_support	CDYL	1	5	0.026041666666666668	8.0	0.041666666666666664	3.0	0.9739583333333334	chr6:4891713|4892379	40
prevalence_then_total_support	CFDP1	5	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	chr16:75352240|75358082;chr16:75366635|75369834;chr16:75366621|75369818;chr16:75351938|75353678;chr16:75346506|75363505	41
prevalence_then_total_support	ENSG00000271793	5	5	0.026041666666666668	7.0	0.036458333333333336	2.0	0.9739583333333334	chr6:85616686|85618347;chr6:85572137|85663726;chr6:85618818|85619417;chr6:85600729|85605398;chr6:85587927|85590362	42
prevalence_then_total_support	SRPK2	5	5	0.026041666666666668	7.0	0.036458333333333336	2.0	0.9739583333333334	chr7:105335831|105349396;chr7:105288615|105297823;chr7:105371173|105375450;chr7:105371920|105372875;chr7:105147562|105159312	43
prevalence_then_total_support	ENSG00000262587	1	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	chr16:25054819|25111996	44
prevalence_then_total_support	ENSG00000262700	1	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	chr16:25054819|25111996	45
prevalence_then_total_support	LCMT1	1	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	chr16:25054819|25111996	46
prevalence_then_total_support	LINC02175	1	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	chr16:25054819|25111996	47
prevalence_then_total_support	SCML2P2	1	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	chr16:25054819|25111996	48
prevalence_then_total_support	CUX1	4	5	0.026041666666666668	5.0	0.026041666666666668	1.0	0.9739583333333334	chr7:101976030|101977007;chr7:102117334|102130616;chr7:101924824|101928612;chr7:102030267|102058537	49
prevalence_then_total_support	RAB2B	1	4	0.020833333333333332	20.0	0.10416666666666667	10.0	0.9791666666666666	chr14:21470293|21473752	50
prevalence_then_total_support	PHACTR4	4	4	0.020833333333333332	18.0	0.09375	9.0	0.9791666666666666	chr1:28392682|28394001;chr1:28447290|28452364;chr1:28447544|28450130;chr1:28433032|28434026	51
prevalence_then_total_support	CRLF3	4	4	0.020833333333333332	16.0	0.08333333333333333	9.0	0.9791666666666666	chr17:30817842|30820727;chr17:30779873|30780882;chr17:30774028|30783364;chr17:30816157|30817312	52
prevalence_then_total_support	PGAP1	2	4	0.020833333333333332	16.0	0.08333333333333333	9.0	0.9791666666666666	chr2:196912882|196923125;chr2:196854034|196855192	53
prevalence_then_total_support	AUTS2	5	4	0.020833333333333332	15.0	0.078125	10.0	0.9791666666666666	chr7:70179461|70182272;chr7:70739429|70757940;chr7:69779504|69782104;chr7:69715118|69783893;chr7:70191460|70192887	54
prevalence_then_total_support	GNB1	4	4	0.020833333333333332	15.0	0.078125	9.0	0.9791666666666666	chr1:1887904|1888643;chr1:1859934|1870217;chr1:1834751|1837641;chr1:1806936|1810156	55
prevalence_then_total_support	ZNF346	4	4	0.020833333333333332	15.0	0.078125	7.0	0.9791666666666666	chr5:177024476|177032145;chr5:177047751|177048894;chr5:177046237|177049887;chr5:177035718|177040426	56
prevalence_then_total_support	INO80	4	4	0.020833333333333332	14.0	0.07291666666666667	10.0	0.9791666666666666	chr15:41074827|41077982;chr15:41102638|41104619;chr15:41086046|41086586;chr15:41014750|41046481	57
prevalence_then_total_support	AFDN	3	4	0.020833333333333332	13.0	0.06770833333333333	7.0	0.9791666666666666	chr6:167864551|167891029;chr6:167870383|167902386;chr6:167870383|167880517	58
prevalence_then_total_support	GUSBP1	4	4	0.020833333333333332	12.0	0.0625	8.0	0.9791666666666666	chr5:21491321|21495182;chr5:21490782|21491121;chr5:21479655|21497196;chr5:21491321|21497196	59
prevalence_then_total_support	TASOR2	2	4	0.020833333333333332	12.0	0.0625	6.0	0.9791666666666666	chr10:5699525|5714207;chr10:5699525|5699737	60
prevalence_then_total_support	PBRM1	4	4	0.020833333333333332	11.0	0.057291666666666664	5.0	0.9791666666666666	chr3:52626193|52628893;chr3:52586588|52593074;chr3:52571716|52573285;chr3:52678500|52684914	61
prevalence_then_total_support	USP48	3	4	0.020833333333333332	11.0	0.057291666666666664	5.0	0.9791666666666666	chr1:21715389|21724095;chr1:21715389|21721764;chr1:21778066|21778901	62
prevalence_then_total_support	MIR924HG	4	4	0.020833333333333332	10.0	0.052083333333333336	4.0	0.9791666666666666	chr18:39645659|39648903;chr18:39414320|39416014;chr18:39520696|39522168;chr18:39378236|39379587	63
prevalence_then_total_support	SLC35E3	4	4	0.020833333333333332	10.0	0.052083333333333336	5.0	0.9791666666666666	chr12:68715627|68746779;chr12:68763620|68766211;chr12:68700726|68746779;chr12:68709238|68746779	64
prevalence_then_total_support	BRWD1	3	4	0.020833333333333332	10.0	0.052083333333333336	6.0	0.9791666666666666	chr21:39271215|39272717;chr21:39247701|39280248;chr21:39307147|39310425	65
prevalence_then_total_support	ASH1L	5	4	0.020833333333333332	9.0	0.046875	4.0	0.9791666666666666	chr1:155395459|155405023;chr1:155544869|155556150;chr1:155405612|155413387;chr1:155405617|155413392;chr1:155521100|155521618	66
prevalence_then_total_support	ATAD5	4	4	0.020833333333333332	9.0	0.046875	4.0	0.9791666666666666	chr17:30867911|30868620;chr17:30882526|30887717;chr17:30852984|30865267;chr17:30856955|30887372	67
prevalence_then_total_support	CTCF	4	4	0.020833333333333332	9.0	0.046875	5.0	0.9791666666666666	chr16:67566812|67570681;chr16:67600479|67612665;chr16:67603610|67604919;chr16:67610824|67612121	68
prevalence_then_total_support	NUP107	4	4	0.020833333333333332	9.0	0.046875	5.0	0.9791666666666666	chr12:68715627|68746779;chr12:68700726|68746779;chr12:68690253|68691220;chr12:68709238|68746779	69
prevalence_then_total_support	MARK3	3	4	0.020833333333333332	9.0	0.046875	6.0	0.9791666666666666	chr14:103451918|103457212;chr14:103479772|103480146;chr14:103448919|103468186	70
prevalence_then_total_support	BPTF	4	4	0.020833333333333332	8.0	0.041666666666666664	5.0	0.9791666666666666	chr17:67881750|67885281;chr17:67886128|67975958;chr17:67853940|67866687;chr17:67855199|67857647	71
prevalence_then_total_support	EZH2	4	4	0.020833333333333332	8.0	0.041666666666666664	4.0	0.9791666666666666	chr7:148870762|148871662;chr7:148870472|148871836;chr7:148846470|148847305;chr7:148864520|148866802	72
prevalence_then_total_support	NCOR1	4	4	0.020833333333333332	8.0	0.041666666666666664	3.0	0.9791666666666666	chr17:16079964|16146548;chr17:16043612|16046547;chr17:16117888|16139186;chr17:16092953|16094152	73
prevalence_then_total_support	NFIA	4	4	0.020833333333333332	8.0	0.041666666666666664	4.0	0.9791666666666666	chr1:61158875|61186527;chr1:61129068|61132922;chr1:61455731|61458808;chr1:61128577|61129267	74
prevalence_then_total_support	NPM1	4	4	0.020833333333333332	8.0	0.041666666666666664	4.0	0.9791666666666666	chr5:171396217|171396740;chr5:171400153|171400925;chr5:171395395|171396074;chr5:171395545|171396258	75
prevalence_then_total_support	RABGAP1L	4	4	0.020833333333333332	8.0	0.041666666666666664	4.0	0.9791666666666666	chr1:174454797|174457612;chr1:174108821|174231355;chr1:174814966|174818732;chr1:174245350|174251078	76
prevalence_then_total_support	UBA1	4	4	0.020833333333333332	8.0	0.041666666666666664	3.0	0.9791666666666666	chrX:47199576|47215057;chrX:47204033|47204977;chrX:47206445|47209588;chrX:47201006|47206134	77
prevalence_then_total_support	XPO1	4	4	0.020833333333333332	7.0	0.036458333333333336	4.0	0.9791666666666666	chr2:61498673|61499894;chr2:61510263|61516496;chr2:61522611|61533903;chr2:61510081|61512941	78
prevalence_then_total_support	PTK2	3	4	0.020833333333333332	7.0	0.036458333333333336	4.0	0.9791666666666666	chr8:140708791|140710121;chr8:140879471|140890769;chr8:140927281|140967542	79
prevalence_then_total_support	RSRC1	2	4	0.020833333333333332	7.0	0.036458333333333336	3.0	0.9791666666666666	chr3:158122103|158123991;chr3:158142105|158148717	80
prevalence_then_total_support	CDC27	4	4	0.020833333333333332	6.0	0.03125	3.0	0.9791666666666666	chr17:47137152|47172064;chr17:47177554|47178861;chr17:47160425|47161624;chr17:47160746|47161523	81
prevalence_then_total_support	PDS5A	4	4	0.020833333333333332	6.0	0.03125	2.0	0.9791666666666666	chr4:39949197|39950032;chr4:39837856|39845880;chr4:39893713|39904076;chr4:39832576|39832942	82
prevalence_then_total_support	SSH2	4	4	0.020833333333333332	6.0	0.03125	3.0	0.9791666666666666	chr17:29883265|29916812;chr17:29777194|29792742;chr17:29802111|29804942;chr17:29828067|29830645	83
prevalence_then_total_support	ETFA	3	4	0.020833333333333332	6.0	0.03125	2.0	0.9791666666666666	chr15:76274412|76295737;chr15:76274412|76351288;chr15:76238419|76266636	84
prevalence_then_total_support	FAF1	4	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr1:50649415|50650071;chr1:50705786|50752523;chr1:50893776|50926767;chr1:50625703|50629782	85
prevalence_then_total_support	ZFR	4	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr5:32435210|32438511;chr5:32422704|32425740;chr5:32426642|32433820;chr5:32426997|32438351	86
prevalence_then_total_support	STAG1	3	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr3:136586802|136591549;chr3:136694306|136694937;chr3:136730180|136733847	87
prevalence_then_total_support	TPM3P9	3	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr19:53438211|53475572;chr19:53396369|53469923;chr19:53432819|53473138	88
prevalence_then_total_support	ZNF761	3	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr19:53438211|53475572;chr19:53396369|53469923;chr19:53432819|53473138	89
prevalence_then_total_support	ZNF813	3	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr19:53438211|53475572;chr19:53396369|53469923;chr19:53432819|53473138	90
prevalence_then_total_support	ZNF124	1	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	chr1:247155566|247159813	91
prevalence_then_total_support	UTP4	4	4	0.020833333333333332	4.0	0.020833333333333332	1.0	0.9791666666666666	chr16:69215922|69217360;chr16:69145484|69148193;chr16:69158442|69161940;chr16:69228440|69233550	92
prevalence_then_total_support	OSTCP8	3	3	0.015625	26.0	0.13541666666666666	13.0	0.984375	chr9:33953285|33996333;chr9:33960826|33989126;chr9:33960826|33996333	93
prevalence_then_total_support	C5orf24	3	3	0.015625	21.0	0.109375	19.0	0.984375	chr5:134854898|134855327;chr5:134852906|134853822;chr5:134852229|134853781	94
prevalence_then_total_support	ENSG00000259316	4	3	0.015625	17.0	0.08854166666666667	10.0	0.984375	chr15:64191345|64193260;chr15:64202951|64206046;chr15:64368490|64374474;chr15:64191376|64193260	95
prevalence_then_total_support	CHD6	3	3	0.015625	14.0	0.07291666666666667	7.0	0.984375	chr20:41533050|41551360;chr20:41512846|41514952;chr20:41512846|41551360	96
prevalence_then_total_support	PDSS2	3	3	0.015625	12.0	0.0625	9.0	0.984375	chr6:107250938|107254115;chr6:107410268|107411480;chr6:107193822|107197898	97
prevalence_then_total_support	MRPL42	2	3	0.015625	12.0	0.0625	5.0	0.984375	chr12:93504372|93508864;chr12:93504372|93506495	98
prevalence_then_total_support	BMPR1B	1	3	0.015625	12.0	0.0625	7.0	0.984375	chr4:94996040|95000580	99
prevalence_then_total_support	KLC1	3	3	0.015625	11.0	0.057291666666666664	5.0	0.984375	chr14:103682300|103684106;chr14:103693874|103694598;chr14:103589419|103590210	100
