rank_metric	circ_id	host_gene	host_gene_source	host_gene_annotated	detected_cells	prevalence	total_support	mean_support	max_cell_support	sparsity	rank
prevalence_then_total_support	chr12:124912507|124913646	UBC	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	68
prevalence_then_total_support	chr14:99458279|99465813	SETD3	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	69
prevalence_then_total_support	chr17:20204333|20205912	ENSG00000263494;SPECC1	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	70
prevalence_then_total_support	chr17:35353914|35442140	SLFN12;SLFN11;SLFN13;ENSG00000267745;ENSG00000267711	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	71
prevalence_then_total_support	chr19:53438211|53475572	ZNF761;ZNF813;TPM3P9;TPM3P9	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	72
prevalence_then_total_support	chr1:10458014|10458748	DFFA	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	73
prevalence_then_total_support	chr1:1495485|1529331	ATAD3A;ENSG00000290916;ENSG00000284740;ATAD3B	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	74
prevalence_then_total_support	chr2:97200334|97208006	ANKRD36	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	75
prevalence_then_total_support	chr7:101976030|101977007	CUX1	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	76
prevalence_then_total_support	chr8:73857206|73859234	UBE2W;ENSG00000258677	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	77
prevalence_then_total_support	chr5:134854898|134855327	C5orf24;DDX46	gtf	True	1	0.005208333333333333	19.0	0.09895833333333333	19.0	0.9947916666666666	78
prevalence_then_total_support	chr17:30178071|30184657	NSRP1	gtf	True	1	0.005208333333333333	16.0	0.08333333333333333	16.0	0.9947916666666666	79
prevalence_then_total_support	chr5:35747657|35749638	ENSG00000248969	gtf	True	1	0.005208333333333333	14.0	0.07291666666666667	14.0	0.9947916666666666	80
prevalence_then_total_support	chr8:132825264|132836202	PHF20L1;ENSG00000270137	gtf	True	1	0.005208333333333333	11.0	0.057291666666666664	11.0	0.9947916666666666	81
prevalence_then_total_support	chr15:41102638|41104619	INO80	gtf	True	1	0.005208333333333333	10.0	0.052083333333333336	10.0	0.9947916666666666	82
prevalence_then_total_support	chr17:1354211|1365058	YWHAE	gtf	True	1	0.005208333333333333	10.0	0.052083333333333336	10.0	0.9947916666666666	83
prevalence_then_total_support	chr17:28795529|28797103	FAM222B	gtf	True	1	0.005208333333333333	10.0	0.052083333333333336	10.0	0.9947916666666666	84
prevalence_then_total_support	chr1:108148279|108161293	SLC25A24	gtf	True	1	0.005208333333333333	10.0	0.052083333333333336	10.0	0.9947916666666666	85
prevalence_then_total_support	chr1:144729472|144730417	LSP1P5;ENSG00000224363	gtf	True	1	0.005208333333333333	10.0	0.052083333333333336	10.0	0.9947916666666666	86
prevalence_then_total_support	chr11:86059220|86065092	PICALM	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	87
prevalence_then_total_support	chr13:45975283|45980004	ZC3H13	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	88
prevalence_then_total_support	chr14:50197982|50198960	SOS2	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	89
prevalence_then_total_support	chr15:72041249|72088961	MYO9A;EIF5A2P1	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	90
prevalence_then_total_support	chr15:93015357|93019622	CHD2	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	91
prevalence_then_total_support	chr17:30816157|30817312	CRLF3	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	92
prevalence_then_total_support	chr17:49020336|49024790	IGF2BP1	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	93
prevalence_then_total_support	chr1:1806936|1810156	GNB1	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	94
prevalence_then_total_support	chr1:28433032|28434026	PHACTR4	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	95
prevalence_then_total_support	chr1:93134575|93135557	MTF2	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	96
prevalence_then_total_support	chr1:94959552|94964481	CNN3-DT	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	97
prevalence_then_total_support	chr2:151441905|151443709	RIF1	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	98
prevalence_then_total_support	chr2:196854034|196855192	PGAP1	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	99
prevalence_then_total_support	chr3:56566594|56567053	CCDC66	gtf	True	1	0.005208333333333333	9.0	0.046875	9.0	0.9947916666666666	100
